"noaa","name","year","origin","destination","count"
"GHCND:CA001135126","MIDWAY, WA","2003","GHCND:CA001135126","GHCND:CA001135126","1"
"GHCND:CA001135126","MIDWAY, WA","2004","GHCND:CA001135126","GHCND:CA001135126","1"
"GHCND:CA001135126","MIDWAY, WA","2005","GHCND:CA001135126","GHCND:CA001135126","1"
"GHCND:CA001135126","MIDWAY, WA","2006","GHCND:CA001135126","GHCND:CA001135126","1"
"GHCND:CA001135126","MIDWAY, WA","2007","GHCND:CA001135126","GHCND:CA001135126","1"
"GHCND:USC00020080","AJO, AZ","1945","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1946","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1947","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1948","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1949","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1950","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1951","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1952","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1953","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1954","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1955","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1956","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1957","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1958","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1959","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1960","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1961","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1962","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1963","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1964","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1965","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1966","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1967","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1968","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1969","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1970","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1971","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1972","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1973","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1974","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1975","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1976","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1977","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1978","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1979","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1980","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1981","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1982","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020080","AJO, AZ","1983","GHCND:USC00020080","GHCND:USC00020080","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1990","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1990","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1991","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1991","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1992","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1992","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1993","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1993","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1994","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1994","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1995","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1995","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1996","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1996","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1997","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1997","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1998","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1998","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1999","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","1999","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2000","GHCND:USC00020100","GHCND:USC00020100","1"
