Year,mean,std_ma,cnt_ma
1950,354.205286,,
1951,352.600514,,
1952,357.259636,,
1953,351.728278,,
1954,341.743538,,
1955,334.095852,,
1956,335.110328,,
1957,350.293178,,
1958,361.591606,,
1959,357.644954,,
1960,356.804722,,
1961,352.301048,,
1962,361.669838,,
1963,353.358196,,
1964,336.815938,,
1965,340.322662,,352.0927172
1966,344.752676,,352.5105895
1967,344.533474,,352.9171589
1968,346.39504,,353.2080481
1969,349.057468,,353.8301788
1970,351.042224,,354.7219051
1971,351.47377,,355.8707047
1972,353.488498,,356.9692547
1973,360.034332,,357.5758321
1974,357.831644,,357.7487553
1975,358.995218,,357.9445978
1976,360.445304,,358.0629703
1977,360.165142,,358.2586349
1978,361.990132,,358.1616916
1979,365.03102,352.0927172,358.4692687
1980,366.741456,352.5105895,359.2405905
1981,364.797594,352.9171589,359.9265852
1982,365.986314,353.2080481,360.5484788
1983,370.392198,353.8301788,361.309539
1984,368.495326,354.7219051,362.0921553
1985,368.559842,355.8707047,362.7571273
1986,368.066828,356.9692547,363.2693183
1987,368.4905,357.5758321,363.5776913
1988,366.779302,357.7487553,363.5817722
1989,363.520228,357.9445978,363.2063179
1990,360.355896,358.0629703,362.7709534
1991,358.170988,358.2586349,362.3901905
1992,358.761538,358.1616916,361.8601856
1993,362.585508,358.4692687,361.1942061
1994,359.955592,359.2405905,360.395774
1995,360.902504,359.9265852,359.3845831
1996,363.409484,360.5484788,358.2389161
1997,367.36528,361.309539,357.3723443
1998,369.87353,362.0921553,356.5568095
1999,369.006628,362.7571273,355.4819323
2000,366.407954,363.2693183,354.2566109
2001,360.724958,363.5776913,352.9448449
2002,353.610926,363.5817722,351.622614
2003,348.770702,363.2063179,350.3460947
2004,344.77071,362.7709534,349.1066932
2005,347.57233,362.3901905,348.0292506
2006,344.545158,361.8601856,347.0698926
2007,340.185756,361.1942061,346.0204577
2008,338.03717,360.395774,344.7346928
2009,334.695292,359.3845831,
2010,332.371446,358.2389161,
2011,338.80044,357.3723443,
2012,341.520272,356.5568095,
2013,338.145882,355.4819323,
2014,331.735684,354.2566109,
2015,329.20686,352.9448449,
2016,328.399902,351.622614,
2017,330.19492,350.3460947,
2018,329.597258,349.1066932,
2019,331.19695,348.0292506,
2020,331.575156,347.0698926,
2021,326.687942,346.0204577,
2022,320.18859,344.7346928,
